,Date,Action,Price,Shares,Capital,Position,Reason,Profit,Profit_pct
0,2022-12-28,BUY,4.630000114440918,3023,6003.509654045105,3023,"Aggressive Entry: MACD, ML_bullish",,
1,2023-02-15,SELL,4.670000076293945,3023,20120.9198846817,0,Trailing Stop,120.91988468170166,0.8639300402664769
2,2023-03-02,BUY,4.820000171661377,2922,6036.879383087158,2922,"Aggressive Entry: MACD, ML_bullish",,
3,2023-03-08,SELL,4.610000133514404,2922,19507.299773216248,0,Trailing Stop,-613.6201114654541,-4.356847109293546
4,2023-06-14,BUY,4.150000095367432,3290,5853.7994594573975,3290,"Aggressive Entry: RSI_oversold, ML_bullish",,
5,2023-06-15,SELL,4.21999979019165,3290,19737.598769187927,0,Trailing Stop,230.2989959716797,1.6867395955570728
6,2023-06-29,BUY,4.119999885559082,3353,5923.239152908325,3353,"Aggressive Entry: RSI_oversold, ML_bullish",,
7,2023-06-30,SELL,4.150000095367432,3353,19838.189472675323,0,Trailing Stop,100.59070348739624,0.7281604524675513
8,2023-07-03,BUY,4.170000076293945,3330,5952.089218616486,3330,"Aggressive Entry: BB_oversold, ML_bullish",,
9,2023-07-04,SELL,4.179999828338623,3330,19871.4886469841,0,Trailing Stop,33.299174308776855,0.23980220291902093
10,2023-07-05,BUY,4.119999885559082,3376,5962.369033336639,3376,"Aggressive Entry: RSI_oversold, ML_bullish",,
11,2023-07-06,SELL,3.990000009536743,3376,19432.609065532684,0,Trailing Stop,-438.879581451416,-3.1553368843042566
12,2023-07-11,BUY,4.090000152587891,3325,5833.358558177948,3325,"Aggressive Entry: BB_oversold, ML_bullish",,
13,2023-07-12,SELL,4.050000190734863,3325,19299.60919237137,0,Trailing Stop,-132.99987316131592,-0.9779941408490639
14,2023-07-14,BUY,4.130000114440918,3271,5790.378818035126,3271,"Aggressive Entry: MACD, ML_bullish",,
15,2023-07-18,SELL,4.050000190734863,3271,19037.929441928864,0,Trailing Stop,-261.6797504425049,-1.9370441038567467
16,2023-07-26,BUY,4.110000133514404,3242,5713.309009075165,3242,"Aggressive Entry: MACD, ML_bullish",,
17,2023-08-02,SELL,4.099999904632568,3242,19005.50869989395,0,Trailing Stop,-32.42074203491211,-0.24331456343007174
18,2023-08-08,BUY,4.039999961853027,3293,5701.788825511932,3293,"Aggressive Entry: RSI_oversold, ML_bullish",,
19,2023-08-09,SELL,4.050000190734863,3293,19038.439453601837,0,Trailing Stop,32.93075370788574,0.2475304202044876
20,2023-08-11,BUY,4.03000020980835,3306,5715.258759975433,3306,"Aggressive Entry: RSI_oversold, ML_bullish",,
21,2023-08-14,SELL,4.03000020980835,3306,19038.439453601837,0,Trailing Stop,0.0,0.0
22,2023-09-26,BUY,4.059999942779541,3282,5713.5196413993835,3282,"Aggressive Entry: BB_oversold, ML_bullish",,
23,2023-09-28,SELL,4.03000020980835,3282,18939.980329990387,0,Trailing Stop,-98.4591236114502,-0.7389096895073626
24,2023-10-03,BUY,4.039999961853027,3281,5684.740455150604,3281,"Aggressive Entry: BB_oversold, ML_bullish",,
25,2023-10-04,SELL,4.0,3281,18808.740455150604,0,Trailing Stop,-131.23987483978271,-0.9900980750178164
26,2023-10-06,BUY,4.190000057220459,3142,5643.760275363922,3142,"Aggressive Entry: MACD, ML_bullish",,
27,2024-01-18,SELL,4.760000228881836,3142,20599.68099451065,0,Trailing Stop,1790.9405393600464,13.60382252690232
28,2024-02-23,BUY,4.840000152587891,2979,6181.3205399513245,2979,"Aggressive Entry: Trend, ML_bullish",,
29,2024-02-26,SELL,4.829999923706055,2979,20569.89031267166,0,Trailing Stop,-29.790681838989258,-0.20661629269761356
30,2024-03-08,BUY,5.019999980926514,2868,6172.53036737442,2868,"Aggressive Entry: Trend, ML_bullish",,
31,2024-05-29,SELL,5.480000019073486,2868,21889.17042207718,0,Trailing Stop,1319.2801094055176,9.163347408261801
32,2024-05-30,BUY,5.389999866485596,2842,6570.790801525116,2842,"Aggressive Entry: RSI_oversold, ML_bullish",,
33,2024-05-31,SELL,5.320000171661377,2842,21690.23128938675,0,Trailing Stop,-198.9391326904297,-1.2986956689826445
34,2024-06-06,BUY,5.369999885559082,2827,6509.241612911224,2827,"Aggressive Entry: RSI_oversold, ML_bullish",,
35,2024-06-07,SELL,5.320000171661377,2827,21548.882098197937,0,Trailing Stop,-141.34919118881226,-0.9310933885150261
36,2024-07-18,BUY,5.389999866485596,2798,6467.66247177124,2798,"Aggressive Entry: Trend, ML_bullish",,
37,2024-07-19,SELL,5.230000019073486,2798,21101.202525138855,0,Trailing Stop,-447.67957305908203,-2.9684573539040358
38,2024-08-08,BUY,5.21999979019165,2829,6333.823118686676,2829,"Aggressive Entry: Trend, ML_bullish",,
39,2024-11-06,SELL,5.960000038146973,2829,23194.66322660446,0,Trailing Stop,2093.4607014656067,14.17625053061838
40,2024-11-08,BUY,6.21999979019165,2610,6960.463774204254,2610,"Aggressive Entry: Trend, ML_bullish",,
41,2024-11-29,SELL,6.170000076293945,2610,23064.16397333145,0,Trailing Stop,-130.49925327301025,-0.8038539482999643
42,2024-12-03,BUY,6.210000038146973,2599,6924.3738741874695,2599,"Aggressive Entry: Trend, ML_bullish",,
43,2024-12-19,SELL,6.099999904632568,2599,22778.273626327515,0,Trailing Stop,-285.89034700393677,-1.7713386930546249
44,2025-01-21,BUY,6.480000019073486,2460,6837.473579406738,2460,"Aggressive Entry: Trend, ML_bullish",,
45,2025-01-28,SELL,6.099999904632568,2460,21843.473344802856,0,Stop Loss,-934.8002815246582,-5.864199279666832
46,2025-02-04,BUY,6.199999809265137,2466,6554.273815155029,2466,"Aggressive Entry: Trend, ML_bullish",,
47,2025-02-06,SELL,6.150000095367432,2466,21720.174050331116,0,Trailing Stop,-123.29929447174072,-0.8064470231593661
