,Date,Action,Price,Shares,Capital,Position,Reason,Profit,Profit_pct
0,2025-03-17,BUY,87.6500015258789,159,6063.649757385254,159,"Aggressive Entry: Trend, ML_bullish",,
1,2025-04-08,SELL,72.69999694824219,159,17622.94927215576,0,"Aggressive Exit: Stop_Loss, Trailing_Stop, BB_lower, ML_bearish",-2377.0507278442383,-17.056479540645174
2,2025-05-09,BUY,87.5,140,5372.949272155762,140,"Aggressive Entry: Trend, ML_bullish",,
3,2025-10-21,SELL,102.4000015258789,140,19708.94948577881,0,"Aggressive Exit: Trailing_Stop, ML_bearish",2086.000213623047,17.02857317243304
