Strategy,Ticker,Initial_Capital,Final_Value,Return_pct,Max_Drawdown_pct,Total_Trades,Win_Rate
Conservative,0288.HK,20000.0,19835.928981781006,-0.8203550910949706,-10.432304122447968,8,37.5
Aggressive,0288.HK,20000.0,25352.413992404938,26.762069962024686,-11.53609458469679,28,39.285714285714285
