Strategy,Ticker,Initial_Capital,Final_Value,Return_pct,Max_Drawdown_pct,Total_Trades,Win_Rate
Conservative,2318.HK,20000.0,21750.799293518066,8.753996467590332,-22.286707319104117,5,40.0
Aggressive,2318.HK,20000.0,18387.543914794922,-8.06228042602539,-31.80505684558596,27,18.51851851851852
