Strategy,Ticker,Initial_Capital,Final_Value,Return_pct,Max_Drawdown_pct,Total_Trades,Win_Rate
Conservative,0002.HK,20000.0,20000.0,0.0,0.0,0,0.0
Aggressive,0002.HK,20000.0,19503.999687194824,-2.480001564025879,-2.767889639984121,3,0.0
