Strategy,Ticker,Initial_Capital,Final_Value,Return_pct,Max_Drawdown_pct,Total_Trades,Win_Rate
Conservative,0005.HK,20000.0,21297.1001663208,6.4855008316040035,-4.921593040429764,1,100.0
Aggressive,0005.HK,20000.0,19708.94948577881,-1.4552525711059572,-13.366045556480788,2,50.0
