Strategy,Final_Value,Total_Return_%,Max_Gain_%,Max_Loss_%,Max_Drawdown_%,Std_Dev_%,Volatility_%
Benchmark (2800.HK),26552.58300349376,32.7629150174688,36.994398305676185,-3.889234672489129,-19.742602199887294,0.9015269571147012,14.311296772477752
0288.HK (Aggressive),25352.413992404938,26.762069962024686,38.68586973905563,-6.584697124958039,-11.536094584696778,0.9238354114075431,14.665432505636417
2318.HK (Conservative),21750.799293518063,8.753996467590314,27.5985019493103,-1.9889980506896974,-22.286707319104117,0.8038680106568912,12.761009058710126
0005.HK (Conservative),21242.6001663208,6.213000831604004,10.736502494811994,0.0,-4.084923725507689,0.21448823989449473,3.404895251452775
0002.HK (Conservative),20000.0,0.0,0.0,0.0,0.0,0.0,0.0
0005.HK (Aggressive),19863.34978485107,-0.683251075744647,5.168251075744647,-11.32875,-12.81889410999597,0.5036870173402495,7.99578351896507
0288.HK (Conservative),19835.92898178101,-0.8203550910949524,5.937144782543182,-10.432304122447968,-10.432304122447968,0.5045458439596758,8.009416968891017
0002.HK (Aggressive),19544.600631713867,-2.276996841430664,0.0,-2.5357468414306643,-2.5357468414306643,0.07060191904758115,1.1207707193028835
2318.HK (Aggressive),18387.54391479492,-8.062280426025408,15.770978622436523,-23.570520191192617,-31.80505684558595,1.3403478259639912,21.27736210696082
3690.HK (Aggressive),18013.102157592773,-9.934489212036132,23.211006546020506,-21.940489196777342,-30.02912180822615,1.3425475508279527,21.312281656617667
3690.HK (Conservative),15294.999946594238,-23.52500026702881,0.0,-23.52500026702881,-23.52500026702881,0.3811914601958537,6.051226833478834
