Portfolio,Initial_Value,Final_Value,Total_Return_%,Annualized_Return_%,Max_Gain_%,Max_Loss_%,Max_Drawdown_%,Std_Dev_%,Volatility_%,Sharpe_Ratio,Trading_Days
Benchmark (2800.HK),100000.0,132762.9150174688,32.7629150174688,9.94272011851638,36.99439830567618,-3.8892346724891254,-19.742602199887287,0.9015269571147011,14.311296772477752,0.7527623114705083,734
Aggressive Portfolio,100000.0,103537.3982257843,3.5373982257843015,1.1684456227166296,11.195350387573242,-8.159830345153809,-13.03584404122589,0.606667301926897,9.630544856718636,0.17227812378648646,735
Conservative Portfolio,100000.0,98586.07852172852,-1.4139214782714844,-0.47473469316356987,1.5226991901397706,-5.579281658172607,-6.515648702288133,0.27482779381010736,4.362755974740483,-0.09022992185330822,735
