Strategy,Ticker,Initial_Capital,Final_Value,Return_pct,Max_Drawdown_pct,Total_Trades,Win_Rate
Conservative,3690.HK,20000.0,15982.399276733398,-20.08800361633301,-21.36852121077548,5,0.0
Aggressive,3690.HK,20000.0,20324.69921875,1.62349609375,-26.47857293308879,10,30.0
