,Date,Action,Price,Shares,Capital,Position,Reason,Profit,Profit_pct
0,2025-06-03,BUY,66.9000015258789,209,6017.899681091309,209,"Aggressive Entry: Trend, BB_oversold, ML_bullish",,
1,2025-06-23,SELL,65.80000305175781,209,19770.10031890869,0,Trailing Stop,-229.8996810913086,-1.6442428236650812
2,2025-07-22,BUY,67.5,205,5932.600318908691,205,"Aggressive Entry: Trend, ML_bullish",,
3,2025-08-06,SELL,66.4000015258789,205,19544.600631713867,0,Trailing Stop,-225.49968719482422,-1.6296273690682872
4,2025-10-15,BUY,66.05000305175781,207,5872.25,207,"Aggressive Entry: Trend, ML_bullish",,
5,2025-10-24,SELL,66.05000305175781,207,19544.600631713867,0,End of Period,0.0,0.0
