,Date,Action,Price,Shares,Capital,Position,Reason,Profit,Profit_pct
0,2022-11-30,BUY,163.60000610351562,85,6093.999481201172,85,"Aggressive Entry: MACD, ML_bullish",,
1,2023-01-18,SELL,163.60000610351562,85,20000.0,0,"Aggressive Exit: Trailing_Stop, ML_bearish",0.0,0.0
2,2023-01-27,BUY,174.89999389648438,80,6008.00048828125,80,"Aggressive Entry: Trend, ML_bullish",,
3,2023-02-07,SELL,163.6999969482422,80,19104.000244140625,0,"Aggressive Exit: Stop_Loss, Trailing_Stop, ML_bearish",-895.999755859375,-6.403657712458798
4,2023-07-31,BUY,146.3000030517578,91,5790.699966430664,91,"Aggressive Entry: Trend, ML_bullish",,
5,2023-08-21,SELL,127.0,91,17347.699966430664,0,"Aggressive Exit: Stop_Loss, Trailing_Stop, BB_lower, ML_bearish",-1756.300277709961,-13.192072897585575
6,2023-08-31,BUY,128.5,94,5268.699966430664,94,"Aggressive Entry: RSI_oversold, ML_bullish",,
7,2023-09-05,SELL,128.60000610351562,94,17357.100540161133,0,"Aggressive Exit: Trailing_Stop, ML_bearish",9.40057373046875,0.07782576149075876
8,2024-04-02,BUY,101.4000015258789,119,5290.500358581543,119,"Aggressive Entry: MACD, ML_bullish",,
9,2024-07-02,SELL,112.19999694824219,119,18642.299995422363,0,"Aggressive Exit: Trailing_Stop, ML_bearish",1285.1994552612305,10.650882899254148
10,2024-07-04,BUY,119.69999694824219,109,5595.000328063965,109,"Aggressive Entry: Trend, MACD, ML_bullish",,
11,2024-07-10,SELL,114.9000015258789,109,18119.100494384766,0,"Aggressive Exit: Trailing_Stop, ML_bearish",-523.1995010375977,-4.010021340634437
12,2024-07-12,BUY,121.80000305175781,104,5451.900177001953,104,"Aggressive Entry: Trend, MACD, ML_bullish",,
13,2024-07-25,SELL,107.0999984741211,104,16590.300018310547,0,"Aggressive Exit: Stop_Loss, Trailing_Stop, BB_lower, ML_bearish",-1528.8004760742188,-12.068968973169964
14,2024-08-30,BUY,118.19999694824219,98,5006.7003173828125,98,"Aggressive Entry: Trend, ML_bullish",,
15,2024-11-25,SELL,162.0,98,20882.700317382812,0,"Aggressive Exit: Trailing_Stop, ML_bearish",4292.400299072266,37.055841102040894
16,2025-02-11,BUY,161.8000030517578,90,6320.700042724609,90,"Aggressive Entry: Trend, ML_bullish",,
17,2025-03-26,SELL,159.89999389648438,90,20711.699493408203,0,"Aggressive Exit: Trailing_Stop, ML_bearish",-171.00082397460938,-1.1742948822229924
18,2025-03-28,BUY,160.10000610351562,90,6302.698944091797,90,"Aggressive Entry: RSI_oversold, ML_bullish",,
19,2025-03-31,SELL,155.8000030517578,90,20324.69921875,0,"Aggressive Exit: Trailing_Stop, ML_bearish",-387.0002746582031,-2.685823165414226
