,Date,Action,Price,Shares,Capital,Position,Reason,Profit,Profit_pct
0,2022-12-22,BUY,186.1999969482422,53,10131.400161743164,53,"Conservative Entry: Trend, MACD, ML_bullish",,
1,2023-01-18,SELL,163.60000610351562,53,18802.200485229492,0,"Conservative Exit: Stop_Loss, Trailing_Stop, ML_bearish",-1197.7995147705078,-12.137481855603175
2,2023-02-01,BUY,180.10000610351562,52,9437.00016784668,52,"Conservative Entry: Trend, MACD, ML_bullish",,
3,2023-02-07,SELL,163.6999969482422,52,17949.400009155273,0,"Conservative Exit: Stop_Loss, Trailing_Stop, ML_bearish",-852.8004760742188,-9.106056968064314
4,2024-04-24,BUY,113.5999984741211,79,8975.000129699707,79,"Conservative Entry: Trend, MACD, ML_bullish",,
5,2024-07-25,SELL,107.0999984741211,79,17435.900009155273,0,"Conservative Exit: Stop_Loss, Trailing_Stop, ML_bearish",-513.5,-5.721831062771314
6,2024-11-14,BUY,169.3000030517578,51,8801.599853515625,51,"Conservative Entry: Trend, BB_oversold, ML_bullish",,
7,2024-12-05,SELL,159.1999969482422,51,16920.799697875977,0,"Conservative Exit: Stop_Loss, Trailing_Stop, ML_bearish",-515.1003112792969,-5.9657447852661205
8,2025-03-06,BUY,180.3000030517578,46,8626.999557495117,46,"Conservative Entry: Trend, MACD, ML_bullish",,
9,2025-03-26,SELL,159.89999389648438,46,15982.399276733398,0,"Conservative Exit: Stop_Loss, Trailing_Stop, ML_bearish",-938.4004211425781,-11.314480759835211
